Data from NOAA Arctic Report Card 2024
Meier, W.N., Petty, A. and Hendricks, S. (2024) ‘NOAA Arctic Report Card 2024 : Sea Ice’.
Available at: https://doi.org/10.25923/AKSK-7P66.
###
year,extent_msqkm
1979.465,7.01
1980.4983,7.5987
1981.4799,7.1171
1983.4948,7.4114
1984.4248,6.7425
1985.4064,6.6355
1986.4397,7.3311
1987.3697,7.2241
1988.403,7.3043
1989.333,7.0368
1990.3662,6.1538
1991.5029,6.5284
1992.4328,7.3579
1993.4145,6.4214
1994.4478,7.0903
1995.3777,6.1003
1996.411,7.4916
1997.3927,6.6622
1998.5293,6.4749
1999.3559,6.0736
2000.3892,6.2876
2001.4225,6.7425
2002.3525,5.806
2003.4374,6.1003
2004.4191,5.913
2005.349,5.5385
2006.279,5.8595
2007.3123,4.2809
2008.5522,4.6555
2009.5339,5.2709
2011.3938,4.5485
2012.3238,3.6388
2013.4604,5.2174
2014.3904,5.1639
2015.372,4.602
2016.302,4.495
2017.4386,4.7893
2018.4202,4.7893
2020.2801,4.0669
2021.3134,4.9498
2022.3467,4.8963
2023.2767,4.3344
2024.31,4.388
