from NOAA
year, area
1979.7332,5.78724
1979.8464,5.78727
1980.7178,6.06737
1981.8067,5.6311
1982.7501,5.63137
1983.772,5.87792
1984.7084,5.31848
1985.8039,5.40834
1986.7915,5.92354
1987.7729,5.94621
1988.7132,5.7002
1989.3504,5.35336
1989.7253,5.16317
1990.8157,4.85004
1991.7212,4.8391
1992.7887,5.70134
1993.7598,4.90684
1994.7474,5.42204
1995.7203,4.76186
1996.7156,5.89274
1998.8124,4.58362
2000.5868,4.65128
2001.7218,4.88668
2002.6964,4.36083
2003.6776,4.3723
2004.7006,4.69721
2005.791,4.38408
2006.6957,4.30598
2007.7759,3.18688
2009.8634,4.13895
2010.8758,3.62431
2011.6299,3.57975
2012.6763,2.76288
2013.7119,4.09526
2014.7306,4.08435
2015.7826,3.71524
2016.6446,3.24533
2017.7444,3.6822
2018.6126,3.70484
2019.7798,3.49248
