x,Curve1
45.301,11.1771
45.972,12.7156
65.852,14.6546
68.114,13.5674
69.325,14.3898
69.345,14.7347
73.486,15.9554
76.433,16.6454
76.925,15.107
76.939,15.3457
76.954,15.611
77.492,14.8684
78.721,16.0091
82.787,15.9301
82.814,16.4075
87.466,16.4082
88.647,16.7266
90.351,16.0372
91.014,17.4431
91.036,17.8145
91.582,17.2045
96.287,18.1335
96.844,17.7091
97.332,16.1177
97.959,16.887
101.502,17.8424
101.515,18.0546
105.532,17.1533
106.131,17.4451
110.834,18.3476
111.937,17.3133
116.07,18.4013
119.524,17.8182
120.152,18.6141
124.782,18.2433
129.416,17.9522
130.013,18.2175
132.357,18.5361
136.388,17.8735
138.154,18.2451
138.768,18.8022
139.275,17.5291
140.464,17.9802
142.254,18.7762
142.311,19.7576
142.859,19.1741
143.979,18.4316
145.121,18.0869
148.654,18.8566
151.523,18.1938
151.582,19.2018
152.191,19.6793
153.292,18.6185
160.901,19.4948
170.791,19.6022
177.792,20.0276
179.495,19.3116
182.385,19.0202
185.409,21.0365
194.668,20.295
196.888,18.4651
197.507,19.1283
198.704,19.712
199.309,20.11
199.904,20.3488
207.473,20.5355
208.577,19.5277
215.668,21.4915
228.406,20.5913
230.155,20.6711
233.671,21.149
255.182,21.1254
