These data are from Figure 5.20 from the WG1 report of IPCC from 2021. They show the variation with year
of ocean pH in the western Pacific (137E, 5N) over the period 1980 to 2020
https://www.ipcc.ch/report/ar6/wg1/figures/chapter-5/figure-5-20
###
###
###
year,pH
1984.1207,8.1
1985.1712,8.097917
1986.0665,8.086458
1987.0597,8.102604
1987.4877,8.071875
1988.0582,8.098437
1989.1088,8.095313
1990.0552,8.089583
1990.53,8.080729
1991.2112,8.085417
1991.4788,8.065625
1992.1021,8.091146
1992.4747,8.071354
1993.1571,8.071354
1993.4162,8.084375
1993.9936,8.084375
1995.2547,8.079688
1995.7804,8.076562
1996.0968,8.071354
1996.5155,8.076042
1997.0903,8.085938
1997.3595,8.060417
1998.0927,8.066667
1998.4627,8.057292
1999.143,8.065104
1999.56,8.076562
2000.0906,8.054688
2000.5058,8.072917
2000.8198,8.076562
2001.0851,8.065625
2001.4013,8.060937
2001.6626,8.065625
2001.9233,8.072396
2002.0307,8.063021
2002.2971,8.047917
2002.5543,8.068229
2002.8688,8.069792
2003.2386,8.060937
2003.5544,8.057813
2003.7627,8.064063
2004.1293,8.067187
2004.2423,8.036979
2004.5564,8.040104
2004.9731,8.052604
2005.0764,8.058854
2005.3416,8.048438
2005.6031,8.052083
2005.8634,8.060417
2006.1238,8.068229
2006.339,8.048438
2006.4948,8.054688
2006.7547,8.064583
2007.1254,8.052083
2007.233,8.042188
2007.7544,8.055729
2008.2792,8.05625
2008.3328,8.052083
2008.8002,8.071354
2009.1684,8.068229
2009.3812,8.057813
2009.6406,8.069271
2010.1159,8.058333
2010.5371,8.053646
2011.0634,8.048438
2011.5322,8.0625
2012.0092,8.044792
2012.634,8.064583
2013.16,8.060417
2013.5298,8.051563
2014.0529,8.058333
2014.5277,8.049479
2015.0539,8.044792
2015.5268,8.042708
2016.4734,8.036458
2017.0482,8.046354
2017.5752,8.038542
2018.1009,8.035417
2018.6227,8.047396
2019.0979,8.036979
2019.6778,8.027604
2020.2044,8.021354
