Entity,Code,Year,Mean male height (cm),Mean female height (cm),World region according to OWID,time
Afghanistan,AFG,1996,165.2558607,155.0753231,Asia,2023
Albania,ALB,1996,173.3888563,161.7698561,Europe,2023
Algeria,DZA,1996,170.0718002,159.0896222,Africa,2023
American Samoa,ASM,1996,176.0451207,164.5213673,Oceania,2023
Andorra,AND,1996,176.0601667,162.9048767,Europe,2023
Angola,AGO,1996,167.3107273,157.3052103,Africa,2023
Antigua and Barbuda,ATG,1996,172.7069903,160.6526419,North America,2023
Argentina,ARG,1996,174.6157252,159.1792058,South America,2023
Armenia,ARM,1996,171.9966462,158.0892096,Asia,2023
Australia,AUS,1996,179.2046477,165.8581773,Oceania,2023
Austria,AUT,1996,177.4077047,164.6209454,Europe,2023
Azerbaijan,AZE,1996,169.7494329,158.2524089,Asia,2023
Bahamas,BHS,1996,172.7466298,160.680362,North America,2023
Bahrain,BHR,1996,167.7434113,156.6916935,Asia,2023
Bangladesh,BGD,1996,163.8082283,150.7888441,Asia,2023
Barbados,BRB,1996,175.9161243,165.2770151,North America,2023
Belarus,BLR,1996,178.4384054,166.3465611,Europe,2023
Belgium,BEL,1996,181.698803,165.4911355,Europe,2023
Belize,BLZ,1996,168.7317804,156.8758678,North America,2023
Benin,BEN,1996,167.0572709,156.1559783,Africa,2023
Bermuda,BMU,1996,172.6878702,160.6876938,North America,2023
Bhutan,BTN,1996,165.3058846,153.6294552,Asia,2023
Bolivia,BOL,1996,166.8462997,153.8883819,South America,2023
Bosnia and Herzegovina,BIH,1996,180.8691741,165.8483102,Europe,2023
Botswana,BWA,1996,171.6276505,161.3812749,Africa,2023
Brazil,BRA,1996,173.5512114,160.8635453,South America,2023
Brunei,BRN,1996,165.0090651,153.9824862,Asia,2023
Bulgaria,BGR,1996,178.2402511,164.7953594,Europe,2023
Burkina Faso,BFA,1996,169.3288328,160.1857488,Africa,2023
Burundi,BDI,1996,166.6352493,154.0233342,Africa,2023
Cambodia,KHM,1996,163.3296025,152.9055366,Asia,2023
Cameroon,CMR,1996,167.8231913,158.8158298,Africa,2023
Canada,CAN,1996,178.0903724,163.9122753,North America,2023
Cape Verde,CPV,1996,173.2239364,161.6495364,Africa,2023
Central African Republic,CAF,1996,166.6738233,158.0375986,Africa,2023
Chad,TCD,1996,170.4385774,160.170113,Africa,2023
Chile,CHL,1996,171.8112817,159.3636607,South America,2023
China,CHN,1996,171.8276872,159.7088938,Asia,2023
Colombia,COL,1996,169.4950788,156.8522111,South America,2023
