These data show the variation is stream temperature (celsius) vs elevation (m) i Oregon
Taken from US EPA:
https://www.epa.gov/caddis/basic-analyses-1#:~:text=by%20the%20data.-,Is%20the%20Assumed%20Functional%20Form%20Appropriate?,side%20of%20this%20optimum%20point.


elevation,temperature
264.15,10.91
305.32,12.2219
377.36,17.4686
485.42,17.5026
598.63,15.7333
675.81,13.7669
701.54,16.9148
778.73,20.0959
819.9,13.3751
830.19,13.8014
845.63,16.195
1051.46,11.2137
1123.5,11.9358
1283.02,16.8883
1380.79,19.414
1540.31,16.3338
1632.93,14.8594
1838.77,13.0583
1900.51,12.4361
1910.81,17.8788
1962.26,13.6499
2008.58,14.0766
2070.33,12.733
2193.83,9.6524
2250.43,12.8661
2343.05,9.6212
2415.09,10.4745
2461.41,11.3602
2466.55,10.0488
2512.86,12.7378
2518.01,9.4592
2641.51,9.9524
2692.97,10.6415
3109.78,15.5313
3701.54,8.1279
3927.96,13.4746
4499.14,6.7923
